,mTurk_code,yes,no
0,8307,0.5238095238095238,0.42857142857142855
1,10406,0.42857142857142855,0.5238095238095238
2,8267,0.7619047619047619,0.19047619047619047
3,5593,0.8571428571428571,0.09523809523809523
4,61,0.23809523809523808,0.7142857142857143
5,5438,0.6666666666666666,0.2857142857142857
6,5557,0.23809523809523808,0.7142857142857143
7,9924,0.3333333333333333,0.6190476190476191
8,4767,0.3333333333333333,0.6190476190476191
9,1733,0.2857142857142857,0.6666666666666666
10,4766,0.6666666666666666,0.2857142857142857
11,5647,0.09523809523809523,0.8571428571428571
12,8827,0.047619047619047616,0.9047619047619048
13,2719,0.42857142857142855,0.5238095238095238
14,1443,0.19047619047619047,0.7619047619047619
15,7652,0.8571428571428571,0.09523809523809523
16,3732,0.7619047619047619,0.19047619047619047
17,1024,0.7142857142857143,0.23809523809523808
18,10307,0.047619047619047616,0.9047619047619048
19,8613,0.47619047619047616,0.47619047619047616
20,6064,0.9047619047619048,0.047619047619047616
21,10452,0.8571428571428571,0.09523809523809523
22,8141,0.8095238095238095,0.14285714285714285
23,3398,0.9047619047619048,0.047619047619047616
24,8104,0.23809523809523808,0.7142857142857143
25,9644,0.7142857142857143,0.23809523809523808
26,3635,0.38095238095238093,0.5714285714285714
27,1642,0.5714285714285714,0.38095238095238093
28,9295,0.42857142857142855,0.5238095238095238
29,4105,0.7142857142857143,0.23809523809523808
30,8517,0.14285714285714285,0.8095238095238095
31,4841,0.9047619047619048,0.047619047619047616
32,10011,0.5238095238095238,0.42857142857142855
33,1441,0.23809523809523808,0.7142857142857143
34,2182,0.5238095238095238,0.42857142857142855
35,9435,0.19047619047619047,0.7619047619047619
36,1741,0.8571428571428571,0.09523809523809523
37,7324,0.8571428571428571,0.09523809523809523
38,2910,0.9047619047619048,0.047619047619047616
39,3957,0.7619047619047619,0.19047619047619047
40,1022,0.8095238095238095,0.14285714285714285
41,921,0.6666666666666666,0.2857142857142857
42,3115,0.047619047619047616,0.9047619047619048
43,7678,0.8571428571428571,0.09523809523809523
44,855,0.7142857142857143,0.23809523809523808
45,2393,0.47619047619047616,0.47619047619047616
46,9501,0.3333333333333333,0.6190476190476191
47,7412,0.19047619047619047,0.7619047619047619
48,10044,0.047619047619047616,0.9047619047619048
49,8938,0.8571428571428571,0.09523809523809523
50,3248,0.6190476190476191,0.3333333333333333
51,4943,0.9047619047619048,0.047619047619047616
52,3854,0.5714285714285714,0.38095238095238093
53,1103,0.8095238095238095,0.14285714285714285
54,4977,0.9523809523809523,0.0
55,5765,0.0,0.9523809523809523
56,2002,0.047619047619047616,0.9047619047619048
57,4860,0.8571428571428571,0.09523809523809523
58,1941,0.8571428571428571,0.09523809523809523
59,913,0.8571428571428571,0.09523809523809523
60,3010,0.8571428571428571,0.09523809523809523
61,7897,0.047619047619047616,0.9047619047619048
62,7920,0.8095238095238095,0.14285714285714285
63,375,0.0,0.9523809523809523
64,4991,0.8095238095238095,0.14285714285714285
65,4546,0.14285714285714285,0.8095238095238095
66,8046,0.7619047619047619,0.19047619047619047
67,1066,0.38095238095238093,0.5714285714285714
68,5049,0.9047619047619048,0.047619047619047616
69,10502,0.9523809523809523,0.0
70,4640,0.9523809523809523,0.0
71,4098,0.8571428571428571,0.09523809523809523
72,7834,0.7142857142857143,0.23809523809523808
73,794,0.8095238095238095,0.14285714285714285
74,408,0.7142857142857143,0.23809523809523808
75,3647,0.47619047619047616,0.47619047619047616
76,5500,0.47619047619047616,0.47619047619047616
77,2034,0.6190476190476191,0.3333333333333333
78,726,0.7142857142857143,0.23809523809523808
79,9634,0.0,0.9523809523809523
80,6189,0.8571428571428571,0.09523809523809523
81,4629,0.0,0.9523809523809523
82,9407,0.0,0.9523809523809523
83,6240,0.8571428571428571,0.09523809523809523
84,2525,0.9047619047619048,0.047619047619047616
85,8162,0.6666666666666666,0.2857142857142857
86,1195,0.09523809523809523,0.8571428571428571
87,2703,0.42857142857142855,0.5238095238095238
88,6207,0.047619047619047616,0.9047619047619048
89,10423,0.5714285714285714,0.38095238095238093
90,282,0.8571428571428571,0.09523809523809523
91,7032,0.9047619047619048,0.047619047619047616
92,838,0.7619047619047619,0.19047619047619047
93,10220,0.6190476190476191,0.3333333333333333
94,1490,0.7619047619047619,0.19047619047619047
95,6884,0.9047619047619048,0.047619047619047616
96,10748,0.8571428571428571,0.09523809523809523
97,1361,0.7619047619047619,0.19047619047619047
98,4161,0.0,0.9523809523809523
99,5270,0.9047619047619048,0.047619047619047616
100,7416,0.09523809523809523,0.8571428571428571
101,8099,0.9047619047619048,0.047619047619047616
102,2685,0.6666666666666666,0.2857142857142857
103,2624,0.23809523809523808,0.7142857142857143
104,3768,0.38095238095238093,0.5714285714285714
105,10448,0.9047619047619048,0.047619047619047616
106,5614,0.7619047619047619,0.19047619047619047
107,2338,0.8571428571428571,0.09523809523809523
108,4029,0.19047619047619047,0.7619047619047619
109,4082,0.047619047619047616,0.9047619047619048
110,4426,0.9047619047619048,0.047619047619047616
111,7079,0.14285714285714285,0.8095238095238095
112,7840,0.23809523809523808,0.7142857142857143
113,9889,0.09523809523809523,0.8571428571428571
114,7315,0.8571428571428571,0.09523809523809523
115,2691,0.5238095238095238,0.42857142857142855
116,7010,0.9047619047619048,0.047619047619047616
117,7170,0.5238095238095238,0.42857142857142855
118,6314,0.19047619047619047,0.7619047619047619
119,999,0.38095238095238093,0.5714285714285714
120,4620,0.7142857142857143,0.23809523809523808
121,8909,0.8095238095238095,0.14285714285714285
122,5607,0.0,0.9523809523809523
123,4126,0.3333333333333333,0.6190476190476191
124,6683,0.8571428571428571,0.09523809523809523
125,10390,0.8571428571428571,0.09523809523809523
126,10762,0.47619047619047616,0.47619047619047616
127,4703,0.23809523809523808,0.7142857142857143
128,9428,0.09523809523809523,0.8571428571428571
129,5917,0.38095238095238093,0.5714285714285714
130,5213,0.14285714285714285,0.8095238095238095
131,505,0.2857142857142857,0.6666666666666666
132,1833,0.7142857142857143,0.23809523809523808
133,5352,0.14285714285714285,0.8095238095238095
134,7224,0.7142857142857143,0.23809523809523808
135,10783,0.9523809523809523,0.0
136,5217,0.09523809523809523,0.8571428571428571
137,4461,0.23809523809523808,0.7142857142857143
138,3510,0.9523809523809523,0.0
139,9844,0.6190476190476191,0.3333333333333333
140,526,0.47619047619047616,0.47619047619047616
141,10824,0.6666666666666666,0.2857142857142857
142,9690,0.5238095238095238,0.42857142857142855
143,10919,0.9523809523809523,0.0
144,2572,0.7619047619047619,0.19047619047619047
145,8528,0.47619047619047616,0.47619047619047616
146,1159,0.9523809523809523,0.0
147,3234,0.09523809523809523,0.8571428571428571
148,1286,0.8571428571428571,0.09523809523809523
149,7219,0.09523809523809523,0.8571428571428571
150,2773,0.9523809523809523,0.0
151,4558,0.9047619047619048,0.047619047619047616
152,9352,0.047619047619047616,0.9047619047619048
153,8924,0.23809523809523808,0.7142857142857143
154,853,0.3333333333333333,0.6190476190476191
155,1385,0.9047619047619048,0.047619047619047616
156,5489,0.9047619047619048,0.047619047619047616
157,5449,0.7142857142857143,0.23809523809523808
158,9919,0.7619047619047619,0.19047619047619047
159,1856,0.6666666666666666,0.2857142857142857
160,1162,0.9047619047619048,0.047619047619047616
161,10958,0.6190476190476191,0.3333333333333333
162,3794,0.09523809523809523,0.8571428571428571
163,5127,0.8571428571428571,0.09523809523809523
164,4193,0.8571428571428571,0.09523809523809523
165,9933,0.9523809523809523,0.0
166,3738,0.0,0.9523809523809523
167,9231,0.047619047619047616,0.9047619047619048
168,10709,0.9523809523809523,0.0
169,3315,0.8571428571428571,0.09523809523809523
170,6386,0.6190476190476191,0.3333333333333333
171,6546,0.2857142857142857,0.6666666666666666
172,5830,0.38095238095238093,0.5714285714285714
173,3848,0.9523809523809523,0.0
174,9242,0.7619047619047619,0.19047619047619047
175,4290,0.8095238095238095,0.14285714285714285
176,685,0.3333333333333333,0.6190476190476191
177,7517,0.9523809523809523,0.0
178,7437,0.8571428571428571,0.09523809523809523
179,10137,0.8571428571428571,0.09523809523809523
180,9586,0.14285714285714285,0.8095238095238095
181,9467,0.09523809523809523,0.8571428571428571
182,9336,0.0,0.9523809523809523
183,8532,0.5238095238095238,0.42857142857142855
184,2228,0.8571428571428571,0.09523809523809523
185,10591,0.7142857142857143,0.23809523809523808
186,5985,0.9523809523809523,0.0
187,9328,0.9523809523809523,0.0
188,1166,0.8095238095238095,0.14285714285714285
189,7830,0.42857142857142855,0.5238095238095238
190,6171,0.8095238095238095,0.14285714285714285
191,10150,0.8095238095238095,0.14285714285714285
192,4117,0.8571428571428571,0.09523809523809523
193,42,0.7619047619047619,0.19047619047619047
194,9686,0.8095238095238095,0.14285714285714285
195,10700,0.9523809523809523,0.0
196,9399,0.5714285714285714,0.38095238095238093
197,9820,0.47619047619047616,0.47619047619047616
198,9609,0.9523809523809523,0.0
199,7199,0.47619047619047616,0.47619047619047616
